neighbourhood_group_encoded,neighbourhood_encoded,room_type_encoded,price_category,minimum_nights,number_of_reviews
2,74,1,medium,1,9
0,218,0,high,1,45
0,44,1,medium,3,0
2,211,0,low,1,270
0,190,0,low,10,9
0,69,0,high,3,74
2,12,1,low,45,49
0,122,1,low,2,430
0,17,1,low,2,118
0,193,0,medium,1,160
0,17,0,medium,5,53
0,122,1,low,2,188
2,109,1,low,4,167
0,17,1,low,2,113
0,114,0,medium,90,27
2,124,0,medium,2,148
2,45,0,high,2,198
0,208,1,medium,1,260
2,123,0,low,3,53
0,190,0,medium,7,0
2,124,0,high,3,9
2,107,1,medium,2,130
2,107,1,low,1,39
2,107,1,medium,2,71
2,12,0,medium,2,88
2,49,1,low,1,19
0,53,1,low,4,0
0,122,0,medium,10,58
0,53,1,low,3,108
0,16,0,medium,14,29
0,44,1,low,3,242
0,44,1,low,2,88
2,82,1,low,4,197
0,44,1,low,3,273
2,12,1,low,1,74
2,109,1,low,4,168
2,12,1,low,60,0
2,116,0,low,2,231
2,79,1,medium,1,0
0,3,2,low,1,214
0,16,1,low,2,245
2,109,0,medium,3,15
2,45,1,medium,7,25
0,17,1,medium,4,81
0,44,0,medium,7,97
2,166,0,medium,29,11
3,151,1,medium,3,248
2,12,0,medium,7,61
2,12,0,medium,3,11
2,45,1,low,3,135
2,12,1,low,1,112
0,17,0,medium,2,73
2,124,0,high,3,82
2,82,0,medium,2,328
0,77,0,high,7,19
2,124,0,medium,30,105
0,3,1,medium,5,19
0,122,1,low,2,289
2,82,1,low,4,138
0,78,0,medium,30,21
2,124,1,low,2,42
0,208,0,high,180,5
0,84,0,high,2,66
2,158,0,high,30,143
2,211,1,low,7,27
0,122,1,low,30,191
2,107,0,high,3,4
0,16,1,low,1,338
2,124,0,high,1,148
0,16,1,low,1,106
0,190,0,high,4,190
0,16,0,high,9,49
0,122,1,low,7,23
0,83,1,low,2,49
2,211,1,medium,2,105
0,16,0,medium,5,21
0,84,1,high,1,142
3,167,1,low,30,25
2,45,1,low,3,143
0,208,1,medium,3,167
2,124,1,medium,3,61
0,44,0,medium,31,54
0,3,0,high,5,70
2,79,0,medium,6,16
0,3,1,low,30,94
2,135,0,high,1,25
2,124,0,medium,3,61
0,16,1,low,3,194
0,16,1,low,1,2
2,124,1,low,3,174
2,116,1,low,4,24
2,158,0,medium,4,166
2,211,1,low,7,16
2,158,0,high,7,21
2,124,0,medium,5,168
2,116,0,medium,3,118
0,17,0,medium,3,81
0,44,1,low,1,1
0,208,1,low,30,30
2,12,0,medium,7,139
0,44,1,low,3,11
2,99,0,medium,2,233
0,83,1,low,2,68
0,114,0,high,4,46
2,124,1,medium,3,335
2,107,0,high,30,88
2,12,0,medium,90,162
2,124,0,low,30,29
0,44,1,medium,2,170
2,13,0,high,30,19
0,122,1,low,2,334
2,211,1,medium,2,19
0,16,0,medium,7,12
2,109,0,medium,30,467
0,16,0,high,2,7
0,77,0,medium,5,38
2,124,0,high,3,324
0,17,0,high,6,27
0,16,0,high,1,115
2,109,1,low,2,354
0,44,0,medium,2,195
2,109,0,high,2,16
0,17,0,medium,7,13
0,16,0,medium,4,25
2,166,1,low,2,9
2,124,1,low,1,9
0,84,0,medium,5,21
0,83,1,low,15,36
2,12,1,low,3,63
0,44,0,medium,3,155
2,211,1,low,3,260
0,16,0,medium,5,73
